transaction_id,customer_id,customer_name,customer_email,transaction_type,transaction_amount,currency,payment_method,card_brand,transaction_status,transaction_timestamp
cb2ab4e2-df24-4e43-bb28-cf7ff2c39c52,6c854a7d-4bf8-465a-b3f1-aa6d58836ce6,Jacqueline Watson,traci45@example.com,tip,56.82,USD,Card,Mastercard,SUCCESS,2026-06-05T22:18:37.114024+00:00
87862faa-e3b0-46d7-b95a-2e6fd685469a,6429e7cf-698a-449b-ac7a-d35e3e554c28,Derrick Russell,melinda07@example.org,ride_payment,124.05,USD,Wallet,,SUCCESS,2026-06-05T23:47:38.223383+00:00
3f581ca9-f362-475b-b482-01d194319289,4cd9202e-c2f8-4428-b22f-e92360e61060,Cathy Potts,hallgabriel@example.com,refund,-75.81,USD,Card,Mastercard,SUCCESS,2026-06-06T00:49:23.673404+00:00
e8536849-dc72-4cde-9216-d98414b08787,8f265d09-a57e-4cc8-b2b3-4a3537f93c7a,Ralph Gonzalez,stanleywilliam@example.com,refund,-134.25,USD,Cash,,SUCCESS,2026-06-06T00:59:08.241704+00:00
430088fb-f5ea-4825-b4a9-91abeec643fe,731eb7f8-6743-47a9-acea-1a77e47db4c5,Jennifer Kelley,frankserrano@example.org,ride_payment,177.41,USD,Wallet,,SUCCESS,2026-06-06T01:34:47.813704+00:00
c63e98ed-f5fd-406e-92b0-e47034b97aeb,417bd548-11fd-4145-a79e-1f1b3e2b314a,Sarah Greene,jessica64@example.com,refund,-127.58,USD,Wallet,,SUCCESS,2026-06-06T04:56:39.711846+00:00
aa6c3da5-a8a1-490d-9d47-11fd75f8ed1a,bf7c897d-80e9-4ed2-b359-b9ac6e26a2bb,Kevin Jones,juliepeck@example.org,refund,-103.36,USD,Card,Visa,SUCCESS,2026-06-06T05:35:51.317819+00:00
d76a7220-f967-4ed6-a32e-e20e3508d90c,132488a7-b160-4a94-83a1-501d4582050f,Todd Ramos,fgrant@example.org,refund,-109.71,USD,Wallet,,SUCCESS,2026-06-06T05:51:07.859187+00:00
ac0e124f-71e6-4de9-8c8e-724083cb2f70,1360b7fb-62f2-4d95-b173-46cef01f995c,Joshua Scott,dennisevans@example.org,tip,166.04,USD,Card,Discover,SUCCESS,2026-06-06T07:46:59.846400+00:00
78641b96-a976-4abb-b3cf-213daa475503,a13bf403-b4d0-48f6-a040-ac5ddb9271a8,Michael Burch,steven27@example.net,ride_payment,90.14,USD,Cash,,SUCCESS,2026-06-06T08:10:05.028979+00:00
28c263cc-53ad-437c-a723-8e2e2b6dca2f,829a178b-621a-4668-b321-b5d978ce547c,Robert Caldwell,michael49@example.net,refund,-33.88,USD,Cash,,SUCCESS,2026-06-06T08:32:28.428234+00:00
0b22c23c-7b2e-4496-b33e-522619dd2a8b,a389c6ae-dcec-4576-a171-4abec1e676dd,Richard Williams,donnataylor@example.org,refund,-156.23,USD,Cash,,FAILED,2026-06-06T11:51:12.641071+00:00
0367ac2c-a36b-4461-b0b1-895bfdef04c7,72523bb1-ee40-4b15-8e99-1533fe589ee1,Kristina Montgomery,gonzalezryan@example.com,ride_payment,18.44,USD,Wallet,,SUCCESS,2026-06-06T12:01:28.588587+00:00
d7caafa9-fd40-41a3-bf9f-df148e0d687c,3c9d307f-9f5f-4d6a-8e8d-145a5d9152d6,Sean Smith,mmitchell@example.net,cancellation_fee,-31.39,USD,Card,Discover,SUCCESS,2026-06-06T12:15:02.820343+00:00
c3bbe501-0d64-4483-b609-d9ea22dc796f,34abc6b5-5d01-4fec-a5d8-be233a1b6f1e,Bailey Castro,jjohnson@example.net,cancellation_fee,-150.07,USD,Card,Amex,SUCCESS,2026-06-06T12:37:48.797142+00:00
01129bab-b84a-4166-9437-5063ada83d7c,5d275699-76ba-452d-bc45-efa1d5b708db,Patricia Sawyer,wilsonmichael@example.net,refund,-26.65,USD,Card,Visa,REFUNDED,2026-06-06T14:00:03.204374+00:00
5f3d984a-36a3-4039-a647-e75cadc768ea,73304a7c-e2ee-4b94-8d99-2d722abcf32b,Jacqueline Rios,ygray@example.org,tip,173.67,USD,Card,Discover,SUCCESS,2026-06-06T15:16:27.932490+00:00
6009db37-e144-4c0d-a043-c5b51e334c72,28c695a5-e15f-40df-9759-d6ac66d6257e,Tina Munoz,webbdawn@example.org,ride_payment,89.44,USD,Cash,,SUCCESS,2026-06-06T16:30:14.944228+00:00
31990ad7-398b-4ff7-a9f8-377e7344c44d,fa9de3e3-8c40-4573-9640-626fe957cc27,Julie Reed,craig54@example.com,ride_payment,54.55,USD,Wallet,,SUCCESS,2026-06-06T18:23:34.829673+00:00
3d2e1812-278c-4329-a9f1-f67f79608f9a,aabb39f0-5c3d-4057-b636-d9c8f7892cc3,Kari Patrick,lopezjason@example.com,tip,25.74,USD,Wallet,,SUCCESS,2026-06-06T19:17:30.100917+00:00
ebfa2d74-20d9-4bbb-92c4-1aaaac79a433,6c57534b-1f65-4b69-a1b3-fbfa6e54f8b6,Jennifer Henry,davismichael@example.com,ride_payment,10.62,USD,Card,Discover,SUCCESS,2026-06-06T19:33:39.968637+00:00
529c5e78-5d16-41c2-969a-29aa62aafa73,ffc6f829-f0a5-4331-8b72-3fb38e603ab9,Kimberly May,beckymedina@example.org,cancellation_fee,-159.93,USD,Card,Mastercard,SUCCESS,2026-06-06T20:03:44.971500+00:00
358dda6a-341a-443d-ab32-d432c8a00632,8a92d547-87dd-4aba-99a9-58d6b744fd94,Jerome Diaz,jenniferbrooks@example.net,cancellation_fee,-41.56,USD,Cash,,SUCCESS,2026-06-06T20:50:45.264892+00:00
7e86abb6-dee7-44c2-a51a-20e96d751be8,99e91953-eeca-4483-8280-4610ae27b140,Courtney Rodriguez,jessica80@example.net,ride_payment,140.49,USD,Wallet,,SUCCESS,2026-06-06T21:13:16.467752+00:00
f3c29b47-3c53-41a2-8f9d-7aff00d37e7d,7e2bbe9f-61b2-44e5-ba51-5cac829b6c38,Carrie Hayes,erika19@example.net,ride_payment,143.69,USD,Wallet,,SUCCESS,2026-06-06T22:45:21.698707+00:00
865234c9-3843-4b79-b034-da472a05cc80,2b30dd43-5c06-4394-93f9-a870ed5439ff,Lisa Ruiz,jamesbartlett@example.com,ride_payment,66.25,USD,Wallet,,SUCCESS,2026-06-06T23:02:56.576696+00:00
00e32c23-3ac7-42ee-8eeb-fbcab7a07b94,d3901914-33b9-4d37-97dc-2b4893689555,Jaime Kennedy,robert67@example.com,refund,-90.93,USD,Cash,,SUCCESS,2026-06-06T23:25:41.853549+00:00
663587d1-94b4-4e70-9b36-1fab4afab880,df44fd18-b755-45d6-93ff-7a50cb917966,William Wilson,joshua81@example.net,ride_payment,163.05,USD,Card,Amex,SUCCESS,2026-06-06T23:39:33.643410+00:00
